,방송일시,마더코드,상품코드,상품명,상품군,판매단가,취급액,노출,요일,month
71,2019-01-02 07:00:00,100315,201002,131,2,69000,14944000,20,wed,1
72,2019-01-02 07:20:00,100315,201002,131,2,69000,25881000,20,wed,1
73,2019-01-02 07:40:00,100315,201002,131,2,69000,30126000,20,wed,1
74,2019-01-02 08:00:00,100305,200974,1137,6,59000,11314000,20,wed,1
75,2019-01-02 08:20:00,100305,200974,1137,6,59000,21397000,20,wed,1
76,2019-01-02 08:40:00,100305,200974,1137,6,59000,34822000,20,wed,1
77,2019-01-02 09:00:00,100454,201409,239,7,39900,12607000,20,wed,1
78,2019-01-02 09:20:00,100454,201409,239,7,39900,23042000,20,wed,1
79,2019-01-02 09:40:00,100454,201409,239,7,39900,38449000,20,wed,1
80,2019-01-02 10:00:00,100448,202098,1392,10,158000,7239000,20,wed,1
81,2019-01-02 10:00:00,100448,202092,798,10,168000,8951000,20,wed,1
82,2019-01-02 10:00:00,100448,202099,1393,10,148000,2118000,20,wed,1
83,2019-01-02 10:00:00,100448,202094,799,10,158000,2262000,20,wed,1
84,2019-01-02 10:20:00,100448,202098,1392,10,158000,27223000,20,wed,1
85,2019-01-02 10:20:00,100448,202092,798,10,168000,13074000,20,wed,1
86,2019-01-02 10:20:00,100448,202099,1393,10,148000,9408000,20,wed,1
87,2019-01-02 10:20:00,100448,202094,799,10,158000,4507000,20,wed,1
88,2019-01-02 10:40:00,100448,202098,1392,10,158000,44478000,20,wed,1
89,2019-01-02 10:40:00,100448,202092,798,10,168000,18925000,20,wed,1
90,2019-01-02 10:40:00,100448,202099,1393,10,148000,13024000,20,wed,1
91,2019-01-02 10:40:00,100448,202094,799,10,158000,3368000,20,wed,1
92,2019-01-02 11:00:00,100271,200896,1754,7,299000,29763000,30,wed,1
93,2019-01-02 11:30:00,100271,200896,1754,7,299000,66392000,30,wed,1
94,2019-01-02 12:00:00,100765,202230,721,10,238000,10107000,20,wed,1
95,2019-01-02 12:00:00,100765,202238,1317,10,228000,2270000,20,wed,1
96,2019-01-02 12:00:00,100765,202229,720,10,218000,1469000,20,wed,1
97,2019-01-02 12:00:00,100765,202237,1316,10,208000,2757000,20,wed,1
98,2019-01-02 12:20:00,100765,202230,721,10,238000,17801000,20,wed,1
99,2019-01-02 12:20:00,100765,202238,1317,10,228000,17732000,20,wed,1
100,2019-01-02 12:20:00,100765,202229,720,10,218000,10627000,20,wed,1
101,2019-01-02 12:20:00,100765,202237,1316,10,208000,4731000,20,wed,1
102,2019-01-02 12:40:00,100765,202230,721,10,238000,25462000,20,wed,1
103,2019-01-02 12:40:00,100765,202238,1317,10,228000,21428000,20,wed,1
104,2019-01-02 12:40:00,100765,202229,720,10,218000,6384000,20,wed,1
105,2019-01-02 12:40:00,100765,202237,1316,10,208000,4095000,20,wed,1
106,2019-01-02 13:00:00,100844,202491,1716,3,32900,29599000,20,wed,1
107,2019-01-02 13:20:00,100844,202491,1716,3,32900,40882000,20,wed,1
108,2019-01-02 13:40:00,100844,202491,1716,3,32900,42466000,20,wed,1
109,2019-01-02 14:00:00,100305,200970,1133,6,109000,28456000,30,wed,1
110,2019-01-02 14:30:00,100305,200970,1133,6,109000,56800000,30,wed,1
111,2019-01-02 15:00:00,100253,200864,1047,3,30900,41722000,20,wed,1
112,2019-01-02 15:20:00,100253,200864,1047,3,30900,43167000,20,wed,1
113,2019-01-02 15:40:00,100253,200864,1047,3,30900,70322000,20,wed,1
114,2019-01-02 16:00:00,100722,202113,245,3,30900,11931000,20,wed,1
115,2019-01-02 16:00:00,100722,202112,244,3,30900,6694000,20,wed,1
116,2019-01-02 16:20:00,100722,202113,245,3,30900,16983000,20,wed,1
117,2019-01-02 16:20:00,100722,202112,244,3,30900,9744000,20,wed,1
118,2019-01-02 16:40:00,100722,202113,245,3,30900,18931000,20,wed,1
119,2019-01-02 16:40:00,100722,202112,244,3,30900,11181000,20,wed,1
120,2019-01-02 17:00:00,100801,202365,826,3,59900,30903000,20,wed,1
121,2019-01-02 17:20:00,100801,202365,826,3,59900,50056000,20,wed,1
122,2019-01-02 17:40:00,100801,202365,826,3,59900,49237000,20,wed,1
123,2019-01-02 18:00:00,100231,200819,1583,10,89800,22422000,20,wed,1
124,2019-01-02 18:20:00,100231,200819,1583,10,89800,33817000,20,wed,1
125,2019-01-02 18:40:00,100231,200819,1583,10,89800,44814000,20,wed,1
126,2019-01-02 19:00:00,100491,201483,1703,3,59900,25985000,20,wed,1
127,2019-01-02 19:20:00,100491,201483,1703,3,59900,36647000,20,wed,1
128,2019-01-02 19:40:00,100491,201483,1703,3,59900,65853000,20,wed,1
129,2019-01-02 20:00:00,100610,201901,1675,6,89000,18424000,20,wed,1
130,2019-01-02 20:00:00,100610,201862,1644,6,89000,422000,20,wed,1
131,2019-01-02 20:00:00,100610,201880,1656,6,89000,1506000,20,wed,1
132,2019-01-02 20:20:00,100610,201901,1675,6,89000,41096000,20,wed,1
133,2019-01-02 20:20:00,100610,201862,1644,6,89000,2575000,20,wed,1
134,2019-01-02 20:20:00,100610,201880,1656,6,89000,3660000,20,wed,1
135,2019-01-02 20:40:00,100610,201901,1675,6,89000,52885000,20,wed,1
136,2019-01-02 20:40:00,100610,201862,1644,6,89000,3029000,20,wed,1
137,2019-01-02 20:40:00,100610,201880,1656,6,89000,4155000,20,wed,1
138,2019-01-02 21:00:00,100155,200552,1297,1,1409000,14485000,20,wed,1
139,2019-01-02 21:00:00,100155,200485,700,1,1549000,11986000,20,wed,1
140,2019-01-02 21:20:00,100155,200552,1297,1,1409000,25312000,20,wed,1
141,2019-01-02 21:20:00,100155,200485,700,1,1549000,11960000,20,wed,1
142,2019-01-02 21:40:00,100155,200552,1297,1,1409000,21729000,20,wed,1
143,2019-01-02 21:40:00,100155,200485,700,1,1549000,23895000,20,wed,1
144,2019-01-02 22:00:00,100148,200497,1273,1,1300000,3177000,20,wed,1
145,2019-01-02 22:00:00,100148,200430,675,1,1440000,50000,20,wed,1
146,2019-01-02 22:00:00,100148,200506,1275,1,1900000,13796000,20,wed,1
147,2019-01-02 22:00:00,100148,200439,677,1,2130000,10329000,20,wed,1
148,2019-01-02 22:00:00,100148,200517,1278,1,2700000,50000,20,wed,1
149,2019-01-02 22:00:00,100148,200450,680,1,2990000,50000,20,wed,1
150,2019-01-02 22:20:00,100148,200497,1273,1,1300000,3177000,20,wed,1
151,2019-01-02 22:20:00,100148,200430,675,1,1440000,3541000,20,wed,1
152,2019-01-02 22:20:00,100148,200506,1275,1,1900000,32123000,20,wed,1
153,2019-01-02 22:20:00,100148,200439,677,1,2130000,5189000,20,wed,1
154,2019-01-02 22:20:00,100148,200517,1278,1,2700000,50000,20,wed,1
155,2019-01-02 22:20:00,100148,200450,680,1,2990000,50000,20,wed,1
156,2019-01-02 22:40:00,100148,200497,1273,1,1300000,6305000,20,wed,1
157,2019-01-02 22:40:00,100148,200430,675,1,1440000,6983000,20,wed,1
158,2019-01-02 22:40:00,100148,200506,1275,1,1900000,36730000,20,wed,1
159,2019-01-02 22:40:00,100148,200439,677,1,2130000,15468000,20,wed,1
160,2019-01-02 22:40:00,100148,200517,1278,1,2700000,50000,20,wed,1
161,2019-01-02 22:40:00,100148,200450,680,1,2990000,14523000,20,wed,1
162,2019-01-02 23:00:00,100664,202004,1565,6,79900,29048000,20,wed,1
163,2019-01-02 23:20:00,100664,202004,1565,6,79900,46224000,20,wed,1
164,2019-01-02 23:40:00,100664,202004,1565,6,79900,31298000,20,wed,1
165,2019-01-03 00:00:00,100346,201072,1592,7,39900,7329000,20,thur,1
166,2019-01-03 00:00:00,100346,201079,1598,7,39900,12050000,20,thur,1
167,2019-01-03 00:20:00,100346,201072,1592,7,39900,10481000,20,thur,1
168,2019-01-03 00:20:00,100346,201079,1598,7,39900,22520000,20,thur,1
169,2019-01-03 01:00:00,100613,201894,1668,6,59000,13185000,20,thur,1
170,2019-01-03 01:20:00,100613,201894,1668,6,59000,17348000,20,thur,1
171,2019-01-03 01:40:00,100613,201894,1668,6,59000,24910000,17,thur,1
172,2019-01-03 06:00:00,100781,202291,1095,9,39800,2450000,20,thur,1
173,2019-01-03 06:00:00,100781,202284,1091,9,49800,2645000,20,thur,1
174,2019-01-03 06:20:00,100781,202291,1095,9,39800,5609000,20,thur,1
175,2019-01-03 06:20:00,100781,202284,1091,9,49800,3874000,20,thur,1
176,2019-01-03 06:40:00,100781,202291,1095,9,39800,9045000,20,thur,1
177,2019-01-03 06:40:00,100781,202284,1091,9,49800,6162000,20,thur,1
178,2019-01-03 07:00:00,100582,201788,1467,3,39900,20546000,20,thur,1
179,2019-01-03 07:20:00,100582,201788,1467,3,39900,26917000,20,thur,1
180,2019-01-03 07:40:00,100582,201788,1467,3,39900,35153000,20,thur,1
181,2019-01-03 08:00:00,100774,202261,1099,8,79000,13665000,20,thur,1
182,2019-01-03 08:20:00,100774,202261,1099,8,79000,26788000,20,thur,1
183,2019-01-03 08:40:00,100774,202261,1099,8,79000,36208000,20,thur,1
184,2019-01-03 09:00:00,100600,201840,552,9,39000,17518000,20,thur,1
185,2019-01-03 09:20:00,100600,201840,552,9,39000,19488000,20,thur,1
186,2019-01-03 09:40:00,100600,201840,552,9,39000,36253000,20,thur,1
187,2019-01-03 10:00:00,100305,200970,1133,6,109000,32763000,30,thur,1
188,2019-01-03 10:30:00,100305,200970,1133,6,109000,70140000,30,thur,1
189,2019-01-03 11:00:00,100816,202404,911,7,79000,16785000,20,thur,1
190,2019-01-03 11:20:00,100816,202404,911,7,79000,32391000,20,thur,1
191,2019-01-03 11:40:00,100816,202404,911,7,79000,35613000,20,thur,1
192,2019-01-03 12:00:00,100315,201002,131,2,69000,18481000,20,thur,1
193,2019-01-03 12:20:00,100315,201002,131,2,69000,24779000,20,thur,1
194,2019-01-03 12:40:00,100315,201002,131,2,69000,45269000,20,thur,1
195,2019-01-03 13:00:00,100074,200197,937,8,39800,30273000,20,thur,1
196,2019-01-03 13:20:00,100074,200197,937,8,39800,41669000,20,thur,1
197,2019-01-03 13:40:00,100074,200197,937,8,39800,44782000,20,thur,1
198,2019-01-03 14:00:00,100255,200868,1724,10,109800,22816000,20,thur,1
199,2019-01-03 14:20:00,100255,200868,1724,10,109800,47947000,20,thur,1
200,2019-01-03 14:40:00,100255,200868,1724,10,109800,49139000,20,thur,1
201,2019-01-03 15:00:00,100837,202455,21,10,218000,13222000,20,thur,1
202,2019-01-03 15:00:00,100837,202458,24,10,208000,9656000,20,thur,1
203,2019-01-03 15:00:00,100837,202456,22,10,208000,1530000,20,thur,1
204,2019-01-03 15:00:00,100837,202457,23,10,198000,4272000,20,thur,1
205,2019-01-03 15:20:00,100837,202455,21,10,218000,31827000,20,thur,1
206,2019-01-03 15:20:00,100837,202458,24,10,208000,24436000,20,thur,1
207,2019-01-03 15:20:00,100837,202456,22,10,208000,5224000,20,thur,1
208,2019-01-03 15:20:00,100837,202457,23,10,198000,6379000,20,thur,1
209,2019-01-03 15:40:00,100837,202455,21,10,218000,16324000,20,thur,1
210,2019-01-03 15:40:00,100837,202458,24,10,208000,25184000,20,thur,1
211,2019-01-03 15:40:00,100837,202456,22,10,208000,6693000,20,thur,1
212,2019-01-03 15:40:00,100837,202457,23,10,198000,3576000,20,thur,1
213,2019-01-03 16:00:00,100832,202444,1469,3,59900,26611000,20,thur,1
214,2019-01-03 16:20:00,100832,202444,1469,3,59900,47757000,20,thur,1
215,2019-01-03 16:40:00,100832,202444,1469,3,59900,59853000,20,thur,1
216,2019-01-03 17:00:00,100496,201497,941,3,60900,16350000,20,thur,1
217,2019-01-03 17:20:00,100496,201497,941,3,60900,33015000,20,thur,1
218,2019-01-03 17:40:00,100496,201497,941,3,60900,27284000,20,thur,1
219,2019-01-03 18:00:00,100702,202074,1112,3,40900,29976000,20,thur,1
220,2019-01-03 18:20:00,100702,202074,1112,3,40900,51728000,20,thur,1
221,2019-01-03 18:40:00,100702,202074,1112,3,40900,67200000,20,thur,1
222,2019-01-03 19:00:00,100610,201860,1642,6,89000,11888000,20,thur,1
223,2019-01-03 19:00:00,100610,201861,1643,6,89000,1879000,20,thur,1
224,2019-01-03 19:00:00,100610,201865,1646,6,89000,3419000,20,thur,1
225,2019-01-03 19:20:00,100610,201860,1642,6,89000,19216000,20,thur,1
226,2019-01-03 19:20:00,100610,201861,1643,6,89000,7147000,20,thur,1
227,2019-01-03 19:20:00,100610,201865,1646,6,89000,2252000,20,thur,1
228,2019-01-03 19:40:00,100610,201860,1642,6,89000,40329000,20,thur,1
229,2019-01-03 19:40:00,100610,201861,1643,6,89000,4871000,20,thur,1
230,2019-01-03 19:40:00,100610,201865,1646,6,89000,4458000,20,thur,1
231,2019-01-03 20:00:00,100501,201514,452,5,189000,41183000,20,thur,1
232,2019-01-03 20:20:00,100501,201514,452,5,189000,83995000,20,thur,1
233,2019-01-03 20:40:00,100501,201514,452,5,189000,107418000,20,thur,1
234,2019-01-03 21:00:00,100148,200497,1273,1,1300000,6305000,20,thur,1
235,2019-01-03 21:00:00,100148,200430,675,1,1440000,3517000,20,thur,1
236,2019-01-03 21:00:00,100148,200506,1275,1,1900000,50000,20,thur,1
237,2019-01-03 21:00:00,100148,200439,677,1,2130000,20608000,20,thur,1
238,2019-01-03 21:00:00,100148,200517,1278,1,2700000,6571000,20,thur,1
239,2019-01-03 21:00:00,100148,200450,680,1,2990000,7299000,20,thur,1
240,2019-01-03 21:20:00,100148,200497,1273,1,1300000,9432000,20,thur,1
241,2019-01-03 21:20:00,100148,200430,675,1,1440000,10450000,20,thur,1
242,2019-01-03 21:20:00,100148,200506,1275,1,1900000,9214000,20,thur,1
243,2019-01-03 21:20:00,100148,200439,677,1,2130000,50000,20,thur,1
244,2019-01-03 21:20:00,100148,200517,1278,1,2700000,6596000,20,thur,1
245,2019-01-03 21:20:00,100148,200450,680,1,2990000,50000,20,thur,1
246,2019-01-03 21:40:00,100148,200497,1273,1,1300000,9480000,20,thur,1
247,2019-01-03 21:40:00,100148,200430,675,1,1440000,17456000,20,thur,1
248,2019-01-03 21:40:00,100148,200506,1275,1,1900000,36705000,20,thur,1
249,2019-01-03 21:40:00,100148,200439,677,1,2130000,25772000,20,thur,1
250,2019-01-03 21:40:00,100148,200517,1278,1,2700000,6571000,20,thur,1
251,2019-01-03 21:40:00,100148,200450,680,1,2990000,50000,20,thur,1
252,2019-01-03 22:00:00,100718,202108,560,6,89900,18030000,20,thur,1
253,2019-01-03 22:20:00,100718,202108,560,6,89900,26566000,20,thur,1
254,2019-01-03 22:40:00,100718,202108,560,6,89900,42666000,20,thur,1
255,2019-01-03 23:00:00,100377,201225,419,7,69900,6925000,20,thur,1
256,2019-01-03 23:00:00,100377,201231,424,7,69900,15039000,20,thur,1
257,2019-01-03 23:20:00,100377,201225,419,7,69900,13850000,20,thur,1
258,2019-01-03 23:20:00,100377,201231,424,7,69900,12274000,20,thur,1
259,2019-01-03 23:40:00,100377,201225,419,7,69900,18958000,20,thur,1
260,2019-01-03 23:40:00,100377,201231,424,7,69900,12616000,20,thur,1
261,2019-01-04 00:00:00,100049,202043,624,7,499000,11512000,20,fri,1
262,2019-01-04 00:20:00,100049,202043,624,7,499000,19019000,20,fri,1
263,2019-01-04 00:40:00,100049,202043,624,7,499000,26852000,20,fri,1
264,2019-01-04 01:00:00,100229,200799,865,5,29800,9780000,20,fri,1
265,2019-01-04 01:20:00,100229,200799,865,5,29800,18124000,20,fri,1
266,2019-01-04 01:40:00,100229,200799,865,5,29800,20974000,17,fri,1
267,2019-01-04 06:00:00,100651,201972,1444,2,74900,10439000,20,fri,1
268,2019-01-04 06:20:00,100651,201972,1444,2,74900,17055000,20,fri,1
269,2019-01-04 06:40:00,100651,201972,1444,2,74900,43680000,20,fri,1
270,2019-01-04 07:00:00,100226,200788,1522,5,49800,10166000,20,fri,1
271,2019-01-04 07:20:00,100226,200788,1522,5,49800,31092000,20,fri,1
272,2019-01-04 07:40:00,100226,200788,1522,5,49800,36453000,20,fri,1
273,2019-01-04 08:00:00,100717,202101,550,6,89900,6122000,20,fri,1
274,2019-01-04 08:20:00,100717,202101,550,6,89900,22625000,20,fri,1
275,2019-01-04 08:40:00,100717,202101,550,6,89900,34090000,20,fri,1
276,2019-01-04 09:00:00,100765,202230,721,10,238000,5440000,20,fri,1
277,2019-01-04 09:00:00,100765,202238,1317,10,228000,2285000,20,fri,1
278,2019-01-04 09:00:00,100765,202229,720,10,218000,1469000,20,fri,1
279,2019-01-04 09:00:00,100765,202237,1316,10,208000,1403000,20,fri,1
280,2019-01-04 09:20:00,100765,202230,721,10,238000,14685000,20,fri,1
281,2019-01-04 09:20:00,100765,202238,1317,10,228000,8150000,20,fri,1
282,2019-01-04 09:20:00,100765,202229,720,10,218000,4962000,20,fri,1
283,2019-01-04 09:20:00,100765,202237,1316,10,208000,1389000,20,fri,1
284,2019-01-04 09:40:00,100765,202230,721,10,238000,23132000,20,fri,1
285,2019-01-04 09:40:00,100765,202238,1317,10,228000,16967000,20,fri,1
286,2019-01-04 09:40:00,100765,202229,720,10,218000,8491000,20,fri,1
287,2019-01-04 09:40:00,100765,202237,1316,10,208000,2742000,20,fri,1
288,2019-01-04 10:00:00,100837,202455,21,10,218000,6251000,20,fri,1
289,2019-01-04 10:00:00,100837,202458,24,10,208000,7445000,20,fri,1
290,2019-01-04 10:00:00,100837,202456,22,10,208000,3010000,20,fri,1
291,2019-01-04 10:00:00,100837,202457,23,10,198000,2161000,20,fri,1
292,2019-01-04 10:20:00,100837,202455,21,10,218000,17861000,20,fri,1
293,2019-01-04 10:20:00,100837,202458,24,10,208000,12608000,20,fri,1
294,2019-01-04 10:20:00,100837,202456,22,10,208000,50000,20,fri,1
295,2019-01-04 10:20:00,100837,202457,23,10,198000,4978000,20,fri,1
296,2019-01-04 10:40:00,100837,202455,21,10,218000,34904000,20,fri,1
297,2019-01-04 10:40:00,100837,202458,24,10,208000,29606000,20,fri,1
298,2019-01-04 10:40:00,100837,202456,22,10,208000,8176000,20,fri,1
299,2019-01-04 10:40:00,100837,202457,23,10,198000,7798000,20,fri,1
300,2019-01-04 11:00:00,100305,200970,1133,6,109000,28056000,30,fri,1
301,2019-01-04 11:30:00,100305,200970,1133,6,109000,56953000,30,fri,1
302,2019-01-04 12:00:00,100253,200864,1047,3,30900,30671000,20,fri,1
303,2019-01-04 12:20:00,100253,200864,1047,3,30900,44792000,20,fri,1
304,2019-01-04 12:40:00,100253,200864,1047,3,30900,50049000,20,fri,1
305,2019-01-04 13:00:00,100255,200868,1724,10,109800,17529000,20,fri,1
306,2019-01-04 13:20:00,100255,200868,1724,10,109800,31775000,20,fri,1
307,2019-01-04 13:40:00,100255,200868,1724,10,109800,42918000,20,fri,1
308,2019-01-04 14:00:00,100305,200974,1137,6,59000,17925000,20,fri,1
309,2019-01-04 14:20:00,100305,200974,1137,6,59000,31346000,20,fri,1
310,2019-01-04 14:40:00,100305,200974,1137,6,59000,37992000,20,fri,1
311,2019-01-04 15:00:00,100199,200670,974,3,50900,28581000,20,fri,1
312,2019-01-04 15:20:00,100199,200670,974,3,50900,32544000,20,fri,1
313,2019-01-04 15:40:00,100199,200670,974,3,50900,61774000,20,fri,1
314,2019-01-04 16:00:00,100844,202491,1716,3,32900,26530000,20,fri,1
315,2019-01-04 16:20:00,100844,202491,1716,3,32900,40568000,20,fri,1
316,2019-01-04 16:40:00,100844,202491,1716,3,32900,48311000,20,fri,1
317,2019-01-04 17:00:00,100231,200819,1583,10,89800,19960000,20,fri,1
318,2019-01-04 17:20:00,100231,200819,1583,10,89800,37694000,20,fri,1
319,2019-01-04 17:40:00,100231,200819,1583,10,89800,53381000,20,fri,1
320,2019-01-04 18:00:00,100491,201483,1703,3,59900,30754000,20,fri,1
321,2019-01-04 18:20:00,100491,201483,1703,3,59900,43797000,20,fri,1
322,2019-01-04 18:40:00,100491,201483,1703,3,59900,66441000,20,fri,1
323,2019-01-04 19:00:00,100150,200532,1285,1,439000,19875000,20,fri,1
324,2019-01-04 19:00:00,100150,200464,687,1,489000,14280000,20,fri,1
325,2019-01-04 19:20:00,100150,200532,1285,1,439000,21358000,20,fri,1
326,2019-01-04 19:20:00,100150,200464,687,1,489000,41292000,20,fri,1
327,2019-01-04 19:40:00,100150,200532,1285,1,439000,45431000,20,fri,1
328,2019-01-04 19:40:00,100150,200464,687,1,489000,26996000,20,fri,1
329,2019-01-04 20:00:00,100074,200197,937,8,39800,33392000,20,fri,1
330,2019-01-04 20:20:00,100074,200197,937,8,39800,48838000,20,fri,1
331,2019-01-04 20:40:00,100074,200197,937,8,39800,79187000,20,fri,1
332,2019-01-04 21:00:00,100664,202004,1565,6,79900,23204000,20,fri,1
333,2019-01-04 21:20:00,100664,202004,1565,6,79900,40601000,20,fri,1
334,2019-01-04 21:40:00,100664,202004,1565,6,79900,48812000,20,fri,1
335,2019-01-04 22:00:00,100377,201225,419,7,69900,8949000,20,fri,1
336,2019-01-04 22:00:00,100377,201231,424,7,69900,7669000,20,fri,1
337,2019-01-04 22:20:00,100377,201225,419,7,69900,14591000,20,fri,1
338,2019-01-04 22:20:00,100377,201231,424,7,69900,13394000,20,fri,1
339,2019-01-04 22:40:00,100377,201225,419,7,69900,32311000,20,fri,1
340,2019-01-04 22:40:00,100377,201231,424,7,69900,25232000,20,fri,1
341,2019-01-04 23:00:00,100271,200896,1754,7,299000,17958000,30,fri,1
342,2019-01-04 23:30:00,100271,200896,1754,7,299000,61787000,30,fri,1
343,2019-01-05 00:00:00,100212,200756,990,8,49900,10874000,20,sat,1
344,2019-01-05 00:20:00,100212,200756,990,8,49900,24142000,20,sat,1
345,2019-01-05 00:40:00,100212,200756,990,8,49900,23462000,20,sat,1
346,2019-01-05 01:00:00,100293,200952,1413,9,129000,15067000,20,sat,1
347,2019-01-05 01:00:00,100293,200949,820,9,139000,6857000,20,sat,1
348,2019-01-05 01:20:00,100293,200952,1413,9,129000,30116000,20,sat,1
349,2019-01-05 01:20:00,100293,200949,820,9,139000,15561000,20,sat,1
350,2019-01-05 01:40:00,100293,200952,1413,9,129000,20633000,17,sat,1
351,2019-01-05 01:40:00,100293,200949,820,9,139000,8495000,17,sat,1
