,방송일시,노출(분),마더코드,상품코드,상품명,상품군,브랜드,판매단가,유동인구,취급액
30,1.54636e+18,20,100496,201497,941,3,187,60900,8123838,32395000
31,1.54636e+18,20,100496,201497,941,3,187,60900,8123838,39669000
32,1.54636e+18,20,100317,201479,397,3,182,49900,8123838,60787000
33,1.54636e+18,20,100317,201479,397,3,182,49900,8123838,115457000
34,1.54636e+18,20,100041,202512,636,3,70,61000,8123838,83893000
35,1.54636e+18,20,100074,200197,937,8,186,39800,8123838,42239000
36,1.54636e+18,20,100074,200197,937,8,186,39800,8123838,73494000
37,1.54636e+18,20,100074,200197,937,8,186,39800,8123838,107103000
38,1.54637e+18,20,100435,201350,1192,3,292,39900,8123838,59050000
39,1.54637e+18,20,100435,201350,1192,3,292,39900,8123838,85937000
40,1.54637e+18,20,100435,201350,1192,3,292,39900,8123838,101468000
41,1.54637e+18,20,100599,201892,1666,6,387,119000,8123838,36620000
42,1.54637e+18,20,100599,201892,1666,6,387,119000,8123838,69349000
43,1.54637e+18,20,100599,201892,1666,6,387,119000,8123838,84610000
44,1.54637e+18,20,100148,200532,1285,1,15,439000,8123838,35519000
45,1.54637e+18,20,100148,200464,687,1,15,489000,8123838,19123000
46,1.54637e+18,20,100148,200532,1285,1,15,439000,8123838,56859000
47,1.54637e+18,20,100148,200464,687,1,15,489000,8123838,58685000
48,1.54638e+18,20,100148,200532,1285,1,15,439000,8123838,68320000
49,1.54638e+18,20,100148,200464,687,1,15,489000,8123838,46068000
50,1.54638e+18,20,100049,202043,624,7,131,499000,8123838,16362000
51,1.54638e+18,20,100049,202043,624,7,131,499000,8123838,53791000
52,1.54638e+18,20,100049,202043,624,7,131,499000,8123838,84562000
53,1.54638e+18,30,100268,200896,1754,7,411,299000,8123838,38067000
54,1.54638e+18,30,100268,200896,1754,7,411,299000,8123838,77764000
55,1.54638e+18,20,100600,202108,560,6,111,89900,8123838,23075000
56,1.54638e+18,20,100600,202108,560,6,111,89900,8123838,39452000
57,1.54639e+18,20,100600,202108,560,6,111,89900,8123838,60010000
58,1.54639e+18,20,100377,201225,419,7,51,69900,8123838,6082000
59,1.54639e+18,20,100377,201231,424,7,51,69900,8123838,6445000
60,1.54639e+18,20,100377,201225,419,7,51,69900,8123838,11985000
61,1.54639e+18,20,100377,201231,424,7,51,69900,8123838,8491000
62,1.54639e+18,20,100377,201225,419,7,51,69900,8123838,16461000
63,1.54639e+18,20,100377,201231,424,7,51,69900,8123838,10641000
64,1.54639e+18,20,100192,200652,536,6,109,69900,8123838,9647000
65,1.54639e+18,20,100192,200652,536,6,109,69900,8123838,15516000
66,1.54639e+18,17,100192,200652,536,6,109,69900,8123838,18695000
67,1.54641e+18,20,100229,200799,865,5,172,29800,8123838,9605000
68,1.54641e+18,20,100229,200799,865,5,172,29800,8123838,11265000
69,1.54641e+18,20,100229,200799,865,5,172,29800,8123838,14371000
70,1.54641e+18,20,100315,201002,131,2,334,69000,8123838,14944000
71,1.54641e+18,20,100315,201002,131,2,334,69000,8123838,25881000
72,1.54641e+18,20,100315,201002,131,2,334,69000,8123838,30126000
73,1.54642e+18,20,100302,200974,1137,6,281,59000,8123838,11314000
74,1.54642e+18,20,100302,200974,1137,6,281,59000,8123838,21397000
75,1.54642e+18,20,100302,200974,1137,6,281,59000,8123838,34822000
76,1.54642e+18,20,100062,201409,239,7,170,39900,8123838,12607000
77,1.54642e+18,20,100062,201409,239,7,170,39900,8123838,23042000
78,1.54642e+18,20,100062,201409,239,7,170,39900,8123838,38449000
79,1.54642e+18,20,100448,202098,1392,10,362,158000,8123838,7239000
80,1.54642e+18,20,100448,202092,798,10,362,168000,8123838,8951000
81,1.54642e+18,20,100448,202099,1393,10,362,148000,8123838,2118000
82,1.54642e+18,20,100448,202094,799,10,362,158000,8123838,2262000
83,1.54642e+18,20,100448,202098,1392,10,362,158000,8123838,27223000
84,1.54642e+18,20,100448,202092,798,10,362,168000,8123838,13074000
85,1.54642e+18,20,100448,202099,1393,10,362,148000,8123838,9408000
86,1.54642e+18,20,100448,202094,799,10,362,158000,8123838,4507000
87,1.54643e+18,20,100448,202098,1392,10,362,158000,8123838,44478000
88,1.54643e+18,20,100448,202092,798,10,362,168000,8123838,18925000
89,1.54643e+18,20,100448,202099,1393,10,362,148000,8123838,13024000
90,1.54643e+18,20,100448,202094,799,10,362,158000,8123838,3368000
91,1.54643e+18,30,100268,200896,1754,7,411,299000,8123838,29763000
92,1.54643e+18,30,100268,200896,1754,7,411,299000,8123838,66392000
93,1.54643e+18,20,100765,202230,721,10,126,238000,8123838,10107000
94,1.54643e+18,20,100765,202238,1317,10,126,228000,8123838,2270000
95,1.54643e+18,20,100765,202229,720,10,126,218000,8123838,1469000
96,1.54643e+18,20,100765,202237,1316,10,126,208000,8123838,2757000
97,1.54643e+18,20,100765,202230,721,10,126,238000,8123838,17801000
98,1.54643e+18,20,100765,202238,1317,10,126,228000,8123838,17732000
99,1.54643e+18,20,100765,202229,720,10,126,218000,8123838,10627000
100,1.54643e+18,20,100765,202237,1316,10,126,208000,8123838,4731000
101,1.54643e+18,20,100765,202230,721,10,126,238000,8123838,25462000
102,1.54643e+18,20,100765,202238,1317,10,126,228000,8123838,21428000
103,1.54643e+18,20,100765,202229,720,10,126,218000,8123838,6384000
104,1.54643e+18,20,100765,202237,1316,10,126,208000,8123838,4095000
105,1.54643e+18,20,100844,202491,1716,3,397,32900,8123838,29599000
106,1.54644e+18,20,100844,202491,1716,3,397,32900,8123838,40882000
107,1.54644e+18,20,100844,202491,1716,3,397,32900,8123838,42466000
108,1.54644e+18,30,100302,200970,1133,6,281,109000,8123838,28456000
109,1.54644e+18,30,100302,200970,1133,6,281,109000,8123838,56800000
110,1.54644e+18,20,100253,200864,1047,3,182,30900,8123838,41722000
111,1.54644e+18,20,100253,200864,1047,3,182,30900,8123838,43167000
112,1.54644e+18,20,100253,200864,1047,3,182,30900,8123838,70322000
113,1.54644e+18,20,100722,202113,245,3,24,30900,8123838,11931000
114,1.54644e+18,20,100722,202112,244,3,24,30900,8123838,6694000
115,1.54645e+18,20,100722,202113,245,3,24,30900,8123838,16983000
116,1.54645e+18,20,100722,202112,244,3,24,30900,8123838,9744000
117,1.54645e+18,20,100722,202113,245,3,24,30900,8123838,18931000
118,1.54645e+18,20,100722,202112,244,3,24,30900,8123838,11181000
119,1.54645e+18,20,100801,202365,826,3,157,59900,8123838,30903000
120,1.54645e+18,20,100801,202365,826,3,157,59900,8123838,50056000
121,1.54645e+18,20,100801,202365,826,3,157,59900,8123838,49237000
122,1.54645e+18,20,100231,200819,1583,10,370,89800,8123838,22422000
123,1.54645e+18,20,100231,200819,1583,10,370,89800,8123838,33817000
124,1.54645e+18,20,100231,200819,1583,10,370,89800,8123838,44814000
125,1.54646e+18,20,100323,201483,1703,3,394,59900,8123838,25985000
126,1.54646e+18,20,100323,201483,1703,3,394,59900,8123838,36647000
127,1.54646e+18,20,100323,201483,1703,3,394,59900,8123838,65853000
128,1.54646e+18,20,100599,201901,1675,6,387,89000,8123838,18424000
129,1.54646e+18,20,100599,201862,1644,6,387,89000,8123838,422000
130,1.54646e+18,20,100599,201880,1656,6,387,89000,8123838,1506000
131,1.54646e+18,20,100599,201901,1675,6,387,89000,8123838,41096000
132,1.54646e+18,20,100599,201862,1644,6,387,89000,8123838,2575000
133,1.54646e+18,20,100599,201880,1656,6,387,89000,8123838,3660000
134,1.54646e+18,20,100599,201901,1675,6,387,89000,8123838,52885000
135,1.54646e+18,20,100599,201862,1644,6,387,89000,8123838,3029000
136,1.54646e+18,20,100599,201880,1656,6,387,89000,8123838,4155000
137,1.54646e+18,20,100148,200552,1297,1,15,1409000,8123838,14485000
138,1.54646e+18,20,100148,200485,700,1,15,1549000,8123838,11986000
139,1.54646e+18,20,100148,200552,1297,1,15,1409000,8123838,25312000
140,1.54646e+18,20,100148,200485,700,1,15,1549000,8123838,11960000
141,1.54647e+18,20,100148,200552,1297,1,15,1409000,8123838,21729000
142,1.54647e+18,20,100148,200485,700,1,15,1549000,8123838,23895000
143,1.54647e+18,20,100148,200497,1273,1,15,1300000,8123838,3177000
144,1.54647e+18,20,100148,200430,675,1,15,1440000,8123838,0
145,1.54647e+18,20,100148,200506,1275,1,15,1900000,8123838,13796000
146,1.54647e+18,20,100148,200439,677,1,15,2130000,8123838,10329000
147,1.54647e+18,20,100148,200517,1278,1,15,2700000,8123838,0
148,1.54647e+18,20,100148,200450,680,1,15,2990000,8123838,0
149,1.54647e+18,20,100148,200497,1273,1,15,1300000,8123838,3177000
150,1.54647e+18,20,100148,200430,675,1,15,1440000,8123838,3541000
151,1.54647e+18,20,100148,200506,1275,1,15,1900000,8123838,32123000
152,1.54647e+18,20,100148,200439,677,1,15,2130000,8123838,5189000
153,1.54647e+18,20,100148,200517,1278,1,15,2700000,8123838,0
154,1.54647e+18,20,100148,200450,680,1,15,2990000,8123838,0
155,1.54647e+18,20,100148,200497,1273,1,15,1300000,8123838,6305000
156,1.54647e+18,20,100148,200430,675,1,15,1440000,8123838,6983000
157,1.54647e+18,20,100148,200506,1275,1,15,1900000,8123838,36730000
158,1.54647e+18,20,100148,200439,677,1,15,2130000,8123838,15468000
159,1.54647e+18,20,100148,200517,1278,1,15,2700000,8123838,0
160,1.54647e+18,20,100148,200450,680,1,15,2990000,8123838,14523000
161,1.54647e+18,20,100664,202004,1565,6,364,79900,8123838,29048000
162,1.54647e+18,20,100664,202004,1565,6,364,79900,8123838,46224000
163,1.54647e+18,20,100664,202004,1565,6,364,79900,8123838,31298000
164,1.54647e+18,20,100346,201072,1592,7,373,39900,8123838,7329000
165,1.54647e+18,20,100346,201079,1598,7,373,39900,8123838,12050000
166,1.54647e+18,20,100346,201072,1592,7,373,39900,8123838,10481000
167,1.54647e+18,20,100346,201079,1598,7,373,39900,8123838,22520000
168,1.54648e+18,20,100599,201894,1668,6,387,59000,8123838,13185000
169,1.54648e+18,20,100599,201894,1668,6,387,59000,8123838,17348000
170,1.54648e+18,17,100599,201894,1668,6,387,59000,8123838,24910000
171,1.5465e+18,20,100781,202291,1095,9,267,39800,8123838,2450000
172,1.5465e+18,20,100781,202284,1091,9,267,49800,8123838,2645000
173,1.5465e+18,20,100781,202291,1095,9,267,39800,8123838,5609000
174,1.5465e+18,20,100781,202284,1091,9,267,49800,8123838,3874000
175,1.5465e+18,20,100781,202291,1095,9,267,39800,8123838,9045000
176,1.5465e+18,20,100781,202284,1091,9,267,49800,8123838,6162000
177,1.5465e+18,20,100582,201788,1467,3,341,39900,8123838,20546000
178,1.5465e+18,20,100582,201788,1467,3,341,39900,8123838,26917000
179,1.5465e+18,20,100582,201788,1467,3,341,39900,8123838,35153000
180,1.5465e+18,20,100314,202261,1099,8,271,79000,8123838,13665000
181,1.5465e+18,20,100314,202261,1099,8,271,79000,8123838,26788000
182,1.5465e+18,20,100314,202261,1099,8,271,79000,8123838,36208000
183,1.54651e+18,20,100600,201840,552,9,111,39000,8123838,17518000
184,1.54651e+18,20,100600,201840,552,9,111,39000,8123838,19488000
185,1.54651e+18,20,100600,201840,552,9,111,39000,8123838,36253000
186,1.54651e+18,30,100302,200970,1133,6,281,109000,8123838,32763000
187,1.54651e+18,30,100302,200970,1133,6,281,109000,8123838,70140000
188,1.54651e+18,20,100814,202404,911,7,177,79000,8123838,16785000
189,1.54651e+18,20,100814,202404,911,7,177,79000,8123838,32391000
190,1.54652e+18,20,100814,202404,911,7,177,79000,8123838,35613000
191,1.54652e+18,20,100315,201002,131,2,334,69000,8123838,18481000
192,1.54652e+18,20,100315,201002,131,2,334,69000,8123838,24779000
193,1.54652e+18,20,100315,201002,131,2,334,69000,8123838,45269000
194,1.54652e+18,20,100074,200197,937,8,186,39800,8123838,30273000
195,1.54652e+18,20,100074,200197,937,8,186,39800,8123838,41669000
196,1.54652e+18,20,100074,200197,937,8,186,39800,8123838,44782000
197,1.54652e+18,20,100255,200868,1724,10,406,109800,8123838,22816000
198,1.54653e+18,20,100255,200868,1724,10,406,109800,8123838,47947000
199,1.54653e+18,20,100255,200868,1724,10,406,109800,8123838,49139000
200,1.54653e+18,20,100837,202455,21,10,363,218000,8123838,13222000
201,1.54653e+18,20,100837,202458,24,10,363,208000,8123838,9656000
202,1.54653e+18,20,100837,202456,22,10,363,208000,8123838,1530000
203,1.54653e+18,20,100837,202457,23,10,363,198000,8123838,4272000
204,1.54653e+18,20,100837,202455,21,10,363,218000,8123838,31827000
205,1.54653e+18,20,100837,202458,24,10,363,208000,8123838,24436000
206,1.54653e+18,20,100837,202456,22,10,363,208000,8123838,5224000
207,1.54653e+18,20,100837,202457,23,10,363,198000,8123838,6379000
208,1.54653e+18,20,100837,202455,21,10,363,218000,8123838,16324000
209,1.54653e+18,20,100837,202458,24,10,363,208000,8123838,25184000
210,1.54653e+18,20,100837,202456,22,10,363,208000,8123838,6693000
211,1.54653e+18,20,100837,202457,23,10,363,198000,8123838,3576000
212,1.54653e+18,20,100832,202444,1469,3,342,59900,8123838,26611000
213,1.54653e+18,20,100832,202444,1469,3,342,59900,8123838,47757000
214,1.54653e+18,20,100832,202444,1469,3,342,59900,8123838,59853000
215,1.54653e+18,20,100496,201497,941,3,187,60900,8123838,16350000
216,1.54654e+18,20,100496,201497,941,3,187,60900,8123838,33015000
217,1.54654e+18,20,100496,201497,941,3,187,60900,8123838,27284000
218,1.54654e+18,20,100637,202074,1112,3,182,40900,8123838,29976000
219,1.54654e+18,20,100637,202074,1112,3,182,40900,8123838,51728000
220,1.54654e+18,20,100637,202074,1112,3,182,40900,8123838,67200000
221,1.54654e+18,20,100599,201860,1642,6,387,89000,8123838,11888000
222,1.54654e+18,20,100599,201861,1643,6,387,89000,8123838,1879000
223,1.54654e+18,20,100599,201865,1646,6,387,89000,8123838,3419000
224,1.54654e+18,20,100599,201860,1642,6,387,89000,8123838,19216000
225,1.54654e+18,20,100599,201861,1643,6,387,89000,8123838,7147000
226,1.54654e+18,20,100599,201865,1646,6,387,89000,8123838,2252000
227,1.54654e+18,20,100599,201860,1642,6,387,89000,8123838,40329000
228,1.54654e+18,20,100599,201861,1643,6,387,89000,8123838,4871000
229,1.54654e+18,20,100599,201865,1646,6,387,89000,8123838,4458000
230,1.54655e+18,20,100501,201514,452,5,67,189000,8123838,41183000
231,1.54655e+18,20,100501,201514,452,5,67,189000,8123838,83995000
232,1.54655e+18,20,100501,201514,452,5,67,189000,8123838,107418000
233,1.54655e+18,20,100148,200497,1273,1,15,1300000,8123838,6305000
234,1.54655e+18,20,100148,200430,675,1,15,1440000,8123838,3517000
235,1.54655e+18,20,100148,200506,1275,1,15,1900000,8123838,0
236,1.54655e+18,20,100148,200439,677,1,15,2130000,8123838,20608000
237,1.54655e+18,20,100148,200517,1278,1,15,2700000,8123838,6571000
238,1.54655e+18,20,100148,200450,680,1,15,2990000,8123838,7299000
239,1.54655e+18,20,100148,200497,1273,1,15,1300000,8123838,9432000
240,1.54655e+18,20,100148,200430,675,1,15,1440000,8123838,10450000
241,1.54655e+18,20,100148,200506,1275,1,15,1900000,8123838,9214000
242,1.54655e+18,20,100148,200439,677,1,15,2130000,8123838,0
243,1.54655e+18,20,100148,200517,1278,1,15,2700000,8123838,6596000
244,1.54655e+18,20,100148,200450,680,1,15,2990000,8123838,0
245,1.54655e+18,20,100148,200497,1273,1,15,1300000,8123838,9480000
246,1.54655e+18,20,100148,200430,675,1,15,1440000,8123838,17456000
247,1.54655e+18,20,100148,200506,1275,1,15,1900000,8123838,36705000
248,1.54655e+18,20,100148,200439,677,1,15,2130000,8123838,25772000
249,1.54655e+18,20,100148,200517,1278,1,15,2700000,8123838,6571000
250,1.54655e+18,20,100148,200450,680,1,15,2990000,8123838,0
251,1.54655e+18,20,100600,202108,560,6,111,89900,8123838,18030000
252,1.54655e+18,20,100600,202108,560,6,111,89900,8123838,26566000
253,1.54656e+18,20,100600,202108,560,6,111,89900,8123838,42666000
254,1.54656e+18,20,100377,201225,419,7,51,69900,8123838,6925000
255,1.54656e+18,20,100377,201231,424,7,51,69900,8123838,15039000
256,1.54656e+18,20,100377,201225,419,7,51,69900,8123838,13850000
257,1.54656e+18,20,100377,201231,424,7,51,69900,8123838,12274000
258,1.54656e+18,20,100377,201225,419,7,51,69900,8123838,18958000
259,1.54656e+18,20,100377,201231,424,7,51,69900,8123838,12616000
260,1.54656e+18,20,100049,202043,624,7,131,499000,8123838,11512000
261,1.54656e+18,20,100049,202043,624,7,131,499000,8123838,19019000
262,1.54656e+18,20,100049,202043,624,7,131,499000,8123838,26852000
263,1.54656e+18,20,100229,200799,865,5,172,29800,8123838,9780000
264,1.54656e+18,20,100229,200799,865,5,172,29800,8123838,18124000
265,1.54657e+18,17,100229,200799,865,5,172,29800,8123838,20974000
266,1.54658e+18,20,100651,201972,1444,2,331,74900,8123838,10439000
267,1.54658e+18,20,100651,201972,1444,2,331,74900,8123838,17055000
268,1.54658e+18,20,100651,201972,1444,2,331,74900,8123838,43680000
269,1.54659e+18,20,100226,200788,1522,5,352,49800,8123838,10166000
270,1.54659e+18,20,100226,200788,1522,5,352,49800,8123838,31092000
271,1.54659e+18,20,100226,200788,1522,5,352,49800,8123838,36453000
272,1.54659e+18,20,100600,202101,550,6,111,89900,8123838,6122000
273,1.54659e+18,20,100600,202101,550,6,111,89900,8123838,22625000
274,1.54659e+18,20,100600,202101,550,6,111,89900,8123838,34090000
275,1.54659e+18,20,100765,202230,721,10,126,238000,8123838,5440000
276,1.54659e+18,20,100765,202238,1317,10,126,228000,8123838,2285000
277,1.54659e+18,20,100765,202229,720,10,126,218000,8123838,1469000
278,1.54659e+18,20,100765,202237,1316,10,126,208000,8123838,1403000
279,1.54659e+18,20,100765,202230,721,10,126,238000,8123838,14685000
280,1.54659e+18,20,100765,202238,1317,10,126,228000,8123838,8150000
281,1.54659e+18,20,100765,202229,720,10,126,218000,8123838,4962000
282,1.54659e+18,20,100765,202237,1316,10,126,208000,8123838,1389000
283,1.54659e+18,20,100765,202230,721,10,126,238000,8123838,23132000
284,1.54659e+18,20,100765,202238,1317,10,126,228000,8123838,16967000
285,1.54659e+18,20,100765,202229,720,10,126,218000,8123838,8491000
286,1.54659e+18,20,100765,202237,1316,10,126,208000,8123838,2742000
287,1.5466e+18,20,100837,202455,21,10,363,218000,8123838,6251000
288,1.5466e+18,20,100837,202458,24,10,363,208000,8123838,7445000
289,1.5466e+18,20,100837,202456,22,10,363,208000,8123838,3010000
290,1.5466e+18,20,100837,202457,23,10,363,198000,8123838,2161000
291,1.5466e+18,20,100837,202455,21,10,363,218000,8123838,17861000
292,1.5466e+18,20,100837,202458,24,10,363,208000,8123838,12608000
293,1.5466e+18,20,100837,202456,22,10,363,208000,8123838,0
294,1.5466e+18,20,100837,202457,23,10,363,198000,8123838,4978000
295,1.5466e+18,20,100837,202455,21,10,363,218000,8123838,34904000
296,1.5466e+18,20,100837,202458,24,10,363,208000,8123838,29606000
297,1.5466e+18,20,100837,202456,22,10,363,208000,8123838,8176000
298,1.5466e+18,20,100837,202457,23,10,363,198000,8123838,7798000
299,1.5466e+18,30,100302,200970,1133,6,281,109000,8123838,28056000
300,1.5466e+18,30,100302,200970,1133,6,281,109000,8123838,56953000
301,1.5466e+18,20,100253,200864,1047,3,182,30900,8123838,30671000
302,1.5466e+18,20,100253,200864,1047,3,182,30900,8123838,44792000
303,1.54661e+18,20,100253,200864,1047,3,182,30900,8123838,50049000
304,1.54661e+18,20,100255,200868,1724,10,406,109800,8123838,17529000
305,1.54661e+18,20,100255,200868,1724,10,406,109800,8123838,31775000
306,1.54661e+18,20,100255,200868,1724,10,406,109800,8123838,42918000
307,1.54661e+18,20,100302,200974,1137,6,281,59000,8123838,17925000
308,1.54661e+18,20,100302,200974,1137,6,281,59000,8123838,31346000
309,1.54661e+18,20,100302,200974,1137,6,281,59000,8123838,37992000
310,1.54661e+18,20,100198,200670,974,3,210,50900,8123838,28581000
311,1.54662e+18,20,100198,200670,974,3,210,50900,8123838,32544000
312,1.54662e+18,20,100198,200670,974,3,210,50900,8123838,61774000
313,1.54662e+18,20,100844,202491,1716,3,397,32900,8123838,26530000
314,1.54662e+18,20,100844,202491,1716,3,397,32900,8123838,40568000
315,1.54662e+18,20,100844,202491,1716,3,397,32900,8123838,48311000
316,1.54662e+18,20,100231,200819,1583,10,370,89800,8123838,19960000
317,1.54662e+18,20,100231,200819,1583,10,370,89800,8123838,37694000
318,1.54662e+18,20,100231,200819,1583,10,370,89800,8123838,53381000
319,1.54662e+18,20,100323,201483,1703,3,394,59900,8123838,30754000
320,1.54663e+18,20,100323,201483,1703,3,394,59900,8123838,43797000
321,1.54663e+18,20,100323,201483,1703,3,394,59900,8123838,66441000
322,1.54663e+18,20,100148,200532,1285,1,15,439000,8123838,19875000
323,1.54663e+18,20,100148,200464,687,1,15,489000,8123838,14280000
324,1.54663e+18,20,100148,200532,1285,1,15,439000,8123838,21358000
325,1.54663e+18,20,100148,200464,687,1,15,489000,8123838,41292000
326,1.54663e+18,20,100148,200532,1285,1,15,439000,8123838,45431000
327,1.54663e+18,20,100148,200464,687,1,15,489000,8123838,26996000
328,1.54663e+18,20,100074,200197,937,8,186,39800,8123838,33392000
329,1.54663e+18,20,100074,200197,937,8,186,39800,8123838,48838000
330,1.54663e+18,20,100074,200197,937,8,186,39800,8123838,79187000
331,1.54664e+18,20,100664,202004,1565,6,364,79900,8123838,23204000
332,1.54664e+18,20,100664,202004,1565,6,364,79900,8123838,40601000
333,1.54664e+18,20,100664,202004,1565,6,364,79900,8123838,48812000
334,1.54664e+18,20,100377,201225,419,7,51,69900,8123838,8949000
335,1.54664e+18,20,100377,201231,424,7,51,69900,8123838,7669000
336,1.54664e+18,20,100377,201225,419,7,51,69900,8123838,14591000
337,1.54664e+18,20,100377,201231,424,7,51,69900,8123838,13394000
338,1.54664e+18,20,100377,201225,419,7,51,69900,8123838,32311000
339,1.54664e+18,20,100377,201231,424,7,51,69900,8123838,25232000
340,1.54664e+18,30,100268,200896,1754,7,411,299000,8123838,17958000
341,1.54664e+18,30,100268,200896,1754,7,411,299000,8123838,61787000
342,1.54665e+18,20,100211,200756,990,8,224,49900,8123838,10874000
343,1.54665e+18,20,100211,200756,990,8,224,49900,8123838,24142000
344,1.54665e+18,20,100211,200756,990,8,224,49900,8123838,23462000
345,1.54665e+18,20,100292,200952,1413,9,37,129000,8123838,15067000
346,1.54665e+18,20,100292,200949,820,9,37,139000,8123838,6857000
347,1.54665e+18,20,100292,200952,1413,9,37,129000,8123838,30116000
348,1.54665e+18,20,100292,200949,820,9,37,139000,8123838,15561000
349,1.54665e+18,17,100292,200952,1413,9,37,129000,8123838,20633000
350,1.54665e+18,17,100292,200949,820,9,37,139000,8123838,8495000
351,1.54667e+18,20,100267,200883,982,8,219,50900,8123838,4976000
352,1.54667e+18,20,100267,200883,982,8,219,50900,8123838,11784000
353,1.54667e+18,20,100267,200883,982,8,219,50900,8123838,18348000
354,1.54667e+18,20,100222,200773,1034,7,242,79000,8123838,3430000
355,1.54667e+18,20,100222,200774,1035,7,242,79000,8123838,3811000
356,1.54667e+18,20,100222,200773,1034,7,242,79000,8123838,10904000
357,1.54667e+18,20,100222,200774,1035,7,242,79000,8123838,8326000
358,1.54667e+18,20,100222,200773,1034,7,242,79000,8123838,15884000
359,1.54667e+18,20,100222,200774,1035,7,242,79000,8123838,7072000
360,1.54668e+18,20,100062,202216,607,7,170,39900,8123838,16654000
361,1.54668e+18,20,100062,202216,607,7,170,39900,8123838,37555000
362,1.54668e+18,20,100062,202216,607,7,170,39900,8123838,64124000
363,1.54668e+18,30,100302,200988,1150,6,281,59000,8123838,43243000
364,1.54668e+18,30,100302,200988,1150,6,281,59000,8123838,88503000
365,1.54668e+18,20,100814,202404,911,7,177,79000,8123838,18277000
366,1.54668e+18,20,100814,202404,911,7,177,79000,8123838,27738000
367,1.54668e+18,20,100814,202404,911,7,177,79000,8123838,35456000
368,1.54669e+18,20,100808,202377,182,7,9,59900,8123838,27914000
369,1.54669e+18,20,100808,202377,182,7,9,59900,8123838,46347000
370,1.54669e+18,20,100808,202377,182,7,9,59900,8123838,79540000
371,1.54669e+18,20,100231,200819,1583,10,370,89800,8123838,25992000
372,1.54669e+18,20,100231,200819,1583,10,370,89800,8123838,51906000
373,1.54669e+18,20,100231,200819,1583,10,370,89800,8123838,77219000
374,1.54669e+18,20,100086,200236,1081,10,264,60900,8123838,37162000
375,1.54669e+18,20,100086,200236,1081,10,264,60900,8123838,66955000
376,1.5467e+18,20,100086,200236,1081,10,264,60900,8123838,69434000
377,1.5467e+18,20,100148,200532,1285,1,15,439000,8123838,18459000
378,1.5467e+18,20,100148,200464,687,1,15,489000,8123838,7956000
379,1.5467e+18,20,100148,200532,1285,1,15,439000,8123838,22774000
380,1.5467e+18,20,100148,200464,687,1,15,489000,8123838,25547000
381,1.5467e+18,20,100148,200532,1285,1,15,439000,8123838,27022000
382,1.5467e+18,20,100148,200464,687,1,15,489000,8123838,43038000
383,1.5467e+18,30,100302,200970,1133,6,281,109000,8123838,32810000
384,1.5467e+18,30,100302,200970,1133,6,281,109000,8123838,61352000
385,1.5467e+18,20,100041,202512,636,3,70,61000,8123838,44297000
386,1.54671e+18,20,100041,202512,636,3,70,61000,8123838,65082000
387,1.54671e+18,20,100041,202512,636,3,70,61000,8123838,69522000
388,1.54671e+18,20,100435,201350,1192,3,292,39900,8123838,52050000
389,1.54671e+18,20,100435,201350,1192,3,292,39900,8123838,77249000
390,1.54671e+18,20,100435,201350,1192,3,292,39900,8123838,104552000
